Disease/Trait (PheGenI),Main categories (PheGenI),Entries utilized in this study,Ensembl ID,GWAS eGene ID,Ensembl gene category,Ensembl biotype,Genomic location of transcript,Mean expression in classical monocytes (TPM),Mean expression in non-classical monocytes (TPM),"Mean expression in
NK cells (TPM)",Mean expression in naïve B cells (TPM),Mean expression in naïve CD4+ T cells (TPM),Mean expression in naïve CD8+ T cells (TPM),"Mean expression in activated naïve
CD4+ T cells (TPM)","Mean expression in activated naïve
CD8+ T cells (TPM)",Mean expression in naïve TREG cells (TPM),Mean expression in memory TREG cells (TPM),"Mean expression in
TH1 cells (TPM)",Mean expression in TH1/17 cells (TPM),"Mean expression in
TH17 cells (TPM)","Mean expression in
TH2 cells (TPM)","Mean expression in
TFH cells (TPM)","Adj. association P value in
classical monocytes","Adj. association P value in
non-classical monocytes","Adj. association P value in
NK cells","Adj. association P value in
naïve B cells","Adj.association P value in
naïve CD4+ T cells","Adj. association P value in
naïve CD8+ T cells",Adj. association P value in activated naïve CD4+ T cells,Adj. association P value in activated naïve CD8+ T cells,"Adj. association P value in
naïve TREG cells","Adj. association P value in
memory TREG cells","Adj. association P value in
TH1 cells","Adj. association P value in
TH1/17 cells","Adj.association P value in
TH17 cells","Adj. association P value in
TH2 cells","Adj. association P value in
TFH cells",Count of cell types with GWAS eGenes
Hip,Anatomy,N/A,ENSG00000065060.12,UHRF1BP1,protein coding,Protein-coding transcript,"chr6:34,759,857-34,850,915",25.8,101.7,44.1,40.1,37.2,42.4,27.8,32.4,35.7,24.8,31.2,32.8,28.8,29.6,28.3,3.41E-16,4.27E-09,4.07E-06,3.43E-04,7.94E-21,2.43E-07,2.03E-10,3.27E-04,2.96E-16,1.72E-20,6.08E-19,1.81E-20,6.70E-23,1.78E-21,8.41E-23,15
Hip,Anatomy,N/A,ENSG00000076003.4,MCM6,protein coding,Protein-coding transcript,"chr2:136,597,196-136,633,996",3.4,8,30.1,8.1,35.9,41.8,53.3,92.5,34.4,45.4,42.8,38.1,38.5,43.4,40.6,3.38E-02,N/A,7.67E-03,3.91E-02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.38E-02,N/A,N/A,1.16E-02,5
Hip,Anatomy,N/A,ENSG00000076685.14,NT5C2,protein coding,Protein-coding transcript,"chr10:104,845,940-104,953,056",35.6,57.3,42.8,33.3,30.5,26.4,21.7,24.7,26.3,22.9,27,28.1,26.1,27.4,24.9,N/A,N/A,N/A,N/A,N/A,2.99E-02,2.93E-05,8.63E-09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3
Hip,Anatomy,N/A,ENSG00000095261.9,PSMD5,protein coding,Protein-coding transcript,"chr9:123,577,774-123,605,262",25.3,35.5,38.7,36,50.5,42,66.7,61.9,53.8,42.5,41.3,46.2,43.9,47.9,43.8,3.62E-03,N/A,N/A,N/A,N/A,N/A,1.34E-02,2.00E-02,N/A,2.09E-05,N/A,N/A,1.51E-02,5.04E-03,9.04E-03,7
Hip,Anatomy,N/A,ENSG00000099377.9,HSD3B7,protein coding,Protein-coding transcript,"chr16:30,996,519-31,000,473",2,0.3,0.7,0.5,1.6,2.1,6.3,7.1,1.7,1.1,1,0.5,0.8,0.8,1.5,7.36E-03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1
Hip,Anatomy,N/A,ENSG00000103479.10,RBL2,protein coding,Protein-coding transcript,"chr16:53,467,889-53,525,561",57.6,70.6,275,131.4,447.2,480.5,81.2,101.5,337.5,238.9,297.6,402.5,321.6,289.9,293.6,1.79E-04,4.94E-06,3.69E-15,2.51E-18,5.04E-20,5.31E-19,2.46E-04,2.28E-09,1.55E-17,1.26E-13,3.46E-14,2.54E-13,4.33E-15,3.84E-18,1.05E-18,15
Hip,Anatomy,N/A,ENSG00000103510.15,KAT8,protein coding,Protein-coding transcript,"chr16:31,127,075-31,142,714",44.8,30.5,37.7,42.7,50.1,50.4,37.2,38.9,50.1,44.2,42.7,33.4,40.3,41,53.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.01E-02,N/A,N/A,N/A,N/A,N/A,1
Hip,Anatomy,N/A,ENSG00000106780.7,MEGF9,protein coding,Protein-coding transcript,"chr9:123,363,091-123,476,748",426.4,190,99.4,48.2,66.1,45,17.2,14.1,46.5,71.8,69.2,70.6,78.5,79.6,63.7,N/A,N/A,N/A,3.99E-07,N/A,3.80E-02,1.04E-03,2.51E-04,2.35E-05,6.89E-05,8.13E-04,1.99E-05,5.03E-06,7.63E-06,1.85E-05,11
Hip,Anatomy,N/A,ENSG00000106804.6,C5,protein coding,Protein-coding transcript,"chr9:123,714,616-123,812,554",5.6,4.2,1.5,9.6,3.3,2.5,0.3,0.2,3.7,3,2.8,2.7,2.5,3.1,2.6,4.25E-03,1.88E-04,N/A,1.49E-05,1.81E-04,1.09E-04,N/A,N/A,1.90E-02,N/A,1.65E-02,N/A,3.28E-02,1.86E-03,1.78E-03,10
Hip,Anatomy,N/A,ENSG00000108592.12,FTSJ3,protein coding,Protein-coding transcript,"chr17:61,896,793-61,907,372",15.3,21.3,30.8,18.9,28.4,28.5,89.8,97.1,27.6,32.7,29,26.2,28.6,27.6,29.9,6.42E-08,9.11E-03,2.55E-07,N/A,7.37E-10,5.08E-12,1.29E-06,5.75E-06,2.07E-14,9.54E-10,2.00E-07,3.92E-13,1.44E-09,2.42E-10,5.50E-06,14
Hip,Anatomy,N/A,ENSG00000108604.11,SMARCD2,protein coding,Protein-coding transcript,"chr17:61,909,444-61,920,425",55.2,66.5,75.7,51.6,53.4,56.2,33.8,45,72.9,102.4,70,54.8,73.4,71.3,89.2,8.69E-04,N/A,N/A,N/A,N/A,N/A,2.46E-03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2
Hip,Anatomy,N/A,ENSG00000111328.2,CDK2AP1,protein coding,Protein-coding transcript,"chr12:123,745,528-123,756,881",83.5,200.4,24.9,6.8,11.2,10.4,25.2,31,9.7,16.8,16.7,15.1,16.6,15.5,14.2,1.55E-04,4.44E-02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2
Hip,Anatomy,N/A,ENSG00000117115.8,PADI2,protein coding,Protein-coding transcript,"chr1:17,393,256-17,445,948",55.3,0.2,0.1,0.1,0.1,0.1,0,0,0.1,0.2,0,0,0,0,0.1,5.03E-21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1
Hip,Anatomy,N/A,ENSG00000118689.10,FOXO3,protein coding,Protein-coding transcript,"chr6:108,881,038-109,005,977",135.2,88.7,62.6,18,30.7,26.4,16.4,15,47.3,37.7,36.8,45.7,33.3,30.4,31.8,1.65E-02,N/A,2.15E-03,N/A,1.29E-02,5.86E-03,N/A,4.12E-02,1.99E-04,N/A,N/A,N/A,N/A,N/A,N/A,6
Hip,Anatomy,N/A,ENSG00000122512.10,PMS2,protein coding,Protein-coding transcript,"chr7:6,012,870-6,048,756",3.9,5.2,9.5,10.4,11.6,10.4,6.5,9.4,11.1,10.6,11.2,11.2,11.4,11.7,11.1,N/A,N/A,4.99E-03,N/A,2.22E-03,1.43E-02,1.68E-03,2.85E-04,2.76E-02,N/A,N/A,1.07E-03,1.66E-03,7.17E-03,1.92E-02,10
Hip,Anatomy,N/A,ENSG00000124562.5,SNRPC,protein coding,Protein-coding transcript,"chr6:34,725,183-34,741,571",112.5,141.1,155.4,64.7,118.4,124,154.5,207.6,123.7,175.2,140.9,109.9,136.2,131.5,153.1,7.52E-03,N/A,2.93E-02,3.25E-03,1.11E-02,2.55E-02,N/A,N/A,N/A,N/A,N/A,N/A,2.19E-03,N/A,N/A,6
Hip,Anatomy,N/A,ENSG00000124575.5,HIST1H1D,protein coding,Protein-coding transcript,"chr6:26,234,440-26,235,216",1.3,1,2.8,0.6,2.3,1.9,0.1,0.1,4.1,2.7,3.9,2.6,2.9,3.4,3.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.03E-02,N/A,3.81E-02,1.29E-02,N/A,N/A,3
Hip,Anatomy,N/A,ENSG00000126860.7,EVI2A,protein coding,Protein-coding transcript,"chr17:29,644,578-29,648,902",344.5,135.5,66,25.1,161.7,111.7,507.1,388.5,193.5,98.9,105.6,125.7,121.8,138.5,116.5,N/A,5.66E-03,4.64E-03,6.39E-09,N/A,N/A,N/A,N/A,3.59E-08,3.67E-07,N/A,2.02E-04,8.26E-05,5.36E-07,1.60E-04,9
Hip,Anatomy,N/A,ENSG00000134490.9,TMEM241,protein coding,Protein-coding transcript,"chr18:20,777,108-21,017,925",1.2,2.2,5.8,6.2,1.4,1.7,2.4,2.8,1.3,1,1,0.9,0.9,1.1,0.9,N/A,N/A,2.17E-04,1.40E-04,3.89E-02,N/A,2.48E-02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4
Hip,Anatomy,N/A,ENSG00000136478.3,TEX2,protein coding,Protein-coding transcript,"chr17:62,224,587-62,340,661",6.9,5.4,8.6,5.8,14,10.3,9.9,11.8,12.5,7.5,9.9,9.1,8.3,8.9,8.8,N/A,N/A,N/A,N/A,7.45E-03,9.41E-04,N/A,N/A,N/A,N/A,9.03E-03,N/A,N/A,N/A,1.94E-03,4
Hip,Anatomy,N/A,ENSG00000137309.15,HMGA1,protein coding,Protein-coding transcript,"chr6:34,204,650-34,214,008",86.1,36.7,50.9,44.5,94.2,104.4,370.5,408.7,105.9,137.8,114.7,70.7,103.2,118,157.4,1.06E-02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.77E-02,3.53E-03,3
Hip,Anatomy,N/A,ENSG00000138031.10,ADCY3,protein coding,Protein-coding transcript,"chr2:25,042,038-25,142,708",2.1,0.9,2.5,7.7,8.5,13.3,4.2,6.1,12.1,40,15.6,15.4,26,21.9,23.2,7.33E-05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.49E-02,2
Hip,Anatomy,N/A,ENSG00000140470.9,ADAMTS17,protein coding,Protein-coding transcript,"chr15:100,511,794-100,882,210",0.1,0,0.7,0,3.4,2.7,3.3,2.7,3.8,1.5,3.5,2,3.2,4.6,5.5,N/A,N/A,N/A,N/A,2.31E-02,1.14E-03,N/A,N/A,N/A,1.50E-02,N/A,4.90E-02,N/A,N/A,N/A,4
Hip,Anatomy,N/A,ENSG00000141026.4,MED9,protein coding,Protein-coding transcript,"chr17:17,380,300-17,396,540",15.9,20.1,26.4,24.2,18.6,22,43.7,48.7,19.4,27.9,24.1,19.8,24.3,24.3,29.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.32E-02,N/A,6.96E-03,N/A,N/A,N/A,N/A,1.77E-03,3
Hip,Anatomy,N/A,ENSG00000141034.5,GID4,protein coding,Protein-coding transcript,"chr17:17,942,606-17,971,718",13.3,19.7,25.8,20.5,27.3,24.8,34.2,41.8,27.8,19.5,22,22.7,22.3,21.4,23.6,N/A,1.34E-02,N/A,N/A,1.17E-02,N/A,4.44E-03,N/A,N/A,N/A,1.03E-02,N/A,N/A,N/A,N/A,4
Hip,Anatomy,N/A,ENSG00000141252.15,VPS53,protein coding,Protein-coding transcript,"chr17:411,908-624,957",15,46.9,18.4,17.1,19.4,19.1,13.8,15.1,18.4,17,18.3,16.3,16.7,18,19.1,5.55E-14,1.07E-09,6.53E-06,2.26E-05,1.95E-12,4.09E-14,4.38E-05,2.26E-06,2.07E-14,1.16E-06,1.23E-08,3.26E-07,2.25E-13,1.64E-12,1.13E-09,15
Hip,Anatomy,N/A,ENSG00000141452.5,C18orf8,protein coding,Protein-coding transcript,"chr18:21,083,473-21,111,746",27.1,88,61.2,91,32.7,28.2,20.1,24.1,33.7,48,45.6,49.6,49.8,44.6,36,N/A,1.04E-09,N/A,3.80E-02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2
Hip,Anatomy,N/A,ENSG00000141458.8,NPC1,protein coding,Protein-coding transcript,"chr18:21,086,148-21,166,862",9.8,15,70.1,16.2,9.6,10.5,9.4,13.3,12.3,29.7,22.9,23,22.9,17.4,19.5,N/A,4.76E-02,N/A,3.66E-08,1.09E-03,N/A,1.79E-09,3.30E-14,1.08E-03,6.51E-03,N/A,1.97E-03,2.93E-04,3.67E-03,7.51E-03,11
Hip,Anatomy,N/A,ENSG00000143740.10,SNAP47,protein coding,Protein-coding transcript,"chr1:227,916,240-227,968,927",4.2,5.5,9.8,6.6,9.2,9.4,6.1,8.1,10.3,15.4,10.7,8.5,11.6,11,12,2.67E-04,N/A,N/A,N/A,7.51E-03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2
Hip,Anatomy,N/A,ENSG00000144712.7,CAND2,protein coding,Protein-coding transcript,"chr3:12,837,971-12,913,415",0.1,0.1,0.8,0.5,2.2,2.1,1.2,1.1,2.2,0.7,1.9,1.1,1.3,1.3,2.1,N/A,N/A,N/A,N/A,6.83E-03,8.06E-03,N/A,N/A,1.19E-05,N/A,1.58E-02,6.23E-04,2.26E-06,2.16E-04,1.28E-06,8
Hip,Anatomy,N/A,ENSG00000146535.9,GNA12,protein coding,Protein-coding transcript,"chr7:2,767,746-2,883,958",25.8,12.2,13,46.7,13.2,13.3,12.2,16.1,16.7,22.1,15.8,11.1,12.8,14.9,17.7,N/A,N/A,N/A,9.41E-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.24E-02,N/A,N/A,N/A,2
Hip,Anatomy,N/A,ENSG00000150967.13,ABCB9,protein coding,Protein-coding transcript,"chr12:123,405,498-123,466,196",0.4,0.3,0.7,0.5,3.1,3,0.6,0.7,2.4,1.8,2.9,1.8,2.4,2.6,4.1,N/A,N/A,N/A,N/A,4.63E-05,1.73E-04,N/A,N/A,2.46E-05,4.18E-07,N/A,1.54E-02,4.24E-07,1.66E-04,8.51E-05,8
Hip,Anatomy,N/A,ENSG00000152359.10,POC5,protein coding,Protein-coding transcript,"chr5:74,969,949-75,013,313",5.9,12.3,21.1,21.4,20.7,18,13.3,14.4,21.4,16.7,17.8,20.1,19.7,19.3,16,N/A,3.56E-03,N/A,N/A,2.46E-04,1.99E-03,8.25E-04,3.04E-02,1.80E-09,N/A,N/A,N/A,N/A,N/A,N/A,6
Hip,Anatomy,N/A,ENSG00000157045.4,NTAN1,protein coding,Protein-coding transcript,"chr16:15,131,710-15,149,921",14.5,32.5,21,19.7,18.9,16.3,5.5,6.4,16.3,31.5,21.6,19.5,25.8,22.6,20.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.33E-03,N/A,N/A,1
Hip,Anatomy,N/A,ENSG00000163933.5,RFT1,protein coding,Protein-coding transcript,"chr3:53,122,499-53,164,478",16.1,16.5,23.3,32.5,43,43.2,32.1,37.7,44.1,29.4,32.3,28.7,30.3,31.6,36.7,N/A,N/A,N/A,1.80E-02,N/A,N/A,4.32E-07,3.02E-05,3.70E-02,3.97E-02,N/A,N/A,N/A,N/A,N/A,5
Hip,Anatomy,N/A,ENSG00000163935.9,SFMBT1,protein coding,Protein-coding transcript,"chr3:52,937,588-53,080,766",3.1,4.4,21.2,40,41,42.3,29.8,37.2,30.6,28.7,52.2,65.2,46.8,53.8,34.1,5.31E-05,1.40E-04,N/A,1.28E-02,2.14E-02,N/A,N/A,N/A,N/A,6.39E-03,3.19E-02,N/A,4.28E-02,N/A,7.56E-03,8
Hip,Anatomy,N/A,ENSG00000166272.12,WBP1L,protein coding,Protein-coding transcript,"chr10:104,503,727-104,576,021",123,191.1,181.3,71.4,80.2,82,54.6,71.3,94.2,155.5,109.5,88.7,98.9,97.4,116.9,N/A,N/A,9.23E-03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1
Hip,Anatomy,N/A,ENSG00000166275.11,C10orf32,protein coding,Protein-coding transcript,"chr10:104,613,980-104,624,718",99.6,158.1,68.2,85.8,80,76.7,70.4,60.4,81.9,41.3,61,91.7,61,76.4,55.7,2.40E-05,1.07E-06,3.45E-04,6.25E-03,7.96E-04,1.66E-05,5.81E-05,1.27E-03,8.70E-09,2.71E-04,1.61E-02,5.13E-04,4.12E-04,2.61E-07,7.66E-05,15
Hip,Anatomy,N/A,ENSG00000167699.9,GLOD4,protein coding,Protein-coding transcript,"chr17:660,337-685,581",16.8,24.6,37.9,27.5,39.7,35.7,31.3,40,42.1,46.2,39.7,36.9,47.6,47.1,46.1,N/A,6.48E-03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.96E-03,N/A,1.74E-02,N/A,3
Hip,Anatomy,N/A,ENSG00000172260.9,NEGR1,protein coding,Protein-coding transcript,"chr1:71,861,623-72,748,417",3,1.8,0.3,0.1,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,7.09E-06,3.22E-04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2
Hip,Anatomy,N/A,ENSG00000176390.10,CRLF3,protein coding,Protein-coding transcript,"chr17:29,096,406-29,151,794",41.7,71.7,62.2,69.2,143.1,117.6,67.6,58.3,131.3,66.3,71.1,70.3,67.1,78.8,81.5,N/A,4.04E-03,2.10E-04,1.31E-03,N/A,7.69E-03,N/A,N/A,N/A,N/A,N/A,1.58E-02,7.65E-03,8.95E-03,7.40E-03,8
Hip,Anatomy,N/A,ENSG00000177311.6,ZBTB38,protein coding,Protein-coding transcript,"chr3:141,043,055-141,168,634",4.6,10.3,36.2,8.2,19,17.4,4.5,4.2,35.1,41.7,29.4,29.3,28.4,24.4,33.4,8.48E-03,3.74E-05,N/A,1.37E-04,N/A,N/A,N/A,N/A,N/A,N/A,3.62E-02,1.00E-02,N/A,N/A,N/A,5
Hip,Anatomy,N/A,ENSG00000178952.4,TUFM,protein coding,Protein-coding transcript,"chr16:28,853,732-28,857,729",127.2,103,143.9,72.5,109.1,138.3,321.4,389.5,117.8,189.8,155.6,123.7,149.8,138.4,172.3,1.00E-07,1.88E-06,N/A,1.86E-06,1.86E-04,9.73E-04,N/A,N/A,6.35E-05,3.49E-06,3.76E-03,1.71E-03,1.08E-05,8.90E-05,2.91E-06,12
Hip,Anatomy,N/A,ENSG00000179889.14,PDXDC1,protein coding,Protein-coding transcript,"chr16:15,068,448-15,233,196",17.9,18.1,33.5,32.3,29.4,29.7,32.1,34.2,27.6,28.6,30.5,29.2,30.4,31.1,32.6,N/A,N/A,4.84E-02,N/A,2.39E-03,1.51E-03,N/A,3.45E-03,3.40E-04,1.72E-02,N/A,2.44E-03,2.50E-03,1.76E-03,8.94E-04,10
Hip,Anatomy,N/A,ENSG00000180376.12,CCDC66,protein coding,Protein-coding transcript,"chr3:56,591,189-56,655,846",3,6.1,9.5,11.7,35.2,28.1,17,18.3,33.8,24.3,22.5,25.6,22.4,24.1,23.4,1.10E-04,5.26E-08,N/A,7.27E-06,9.13E-04,2.47E-02,1.63E-02,2.13E-02,1.41E-03,2.15E-04,1.31E-02,N/A,N/A,N/A,N/A,10
Hip,Anatomy,N/A,ENSG00000183426.11,NPIPA1,protein coding,Protein-coding transcript,"chr16:15,016,659-15,045,915",0.4,0.5,1.2,1.1,1.7,1.5,1.1,1,1.7,1.3,1.4,1.1,1.2,1.2,1.2,N/A,N/A,1.05E-02,4.61E-04,1.04E-02,2.51E-03,4.51E-02,1.14E-02,6.67E-03,4.56E-03,5.85E-03,5.40E-03,8.54E-03,2.72E-03,6.46E-04,13
Hip,Anatomy,N/A,ENSG00000183688.4,FAM101B,protein coding,Protein-coding transcript,"chr17:289,769-295,730",465.2,216.2,239.9,1.7,727,569.6,67.5,50.8,582.1,274.1,364.4,356.6,328.6,322.2,322.7,N/A,9.00E-04,N/A,N/A,7.67E-04,3.07E-04,N/A,3.78E-03,3.05E-04,8.93E-03,N/A,N/A,N/A,6.10E-03,1.22E-02,8
Hip,Anatomy,N/A,ENSG00000184730.6,APOBR,protein coding,Protein-coding transcript,"chr16:28,505,970-28,510,291",97.4,39.3,116,0.8,4.9,10.1,1,2.1,7.9,24.4,35.3,28,22.7,19.2,19.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.06E-04,N/A,N/A,3.19E-05,1.96E-04,9.10E-06,4
Hip,Anatomy,N/A,ENSG00000185324.17,CDK10,protein coding,Protein-coding transcript,"chr16:89,747,145-89,762,772",16.6,17.5,38.6,21.6,32.8,41.5,20,26.3,40.3,48.5,44.5,27.5,36.3,38.3,57.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.50E-03,1.61E-02,7.25E-03,N/A,N/A,N/A,2.03E-07,4
Hip,Anatomy,N/A,ENSG00000185862.5,EVI2B,protein coding,Protein-coding transcript,"chr17:29,630,784-29,641,130",869.8,1005.1,155.3,434.1,262.2,199.4,248.1,279.8,212.9,274.1,252.4,275.8,332.3,338,269.5,N/A,N/A,N/A,1.30E-02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.56E-03,9.29E-03,3.12E-03,4
Hip,Anatomy,N/A,ENSG00000187953.6,PMS2CL,pseudogene,Pseudogene,"chr7:6,749,759-6,793,493",4.7,7.2,15,13.1,17.8,17.4,12.9,15.6,17.3,15.6,15.1,13.8,14.7,15.5,16,N/A,N/A,3.85E-02,2.45E-03,6.09E-04,1.26E-03,N/A,2.81E-03,N/A,4.87E-03,3.63E-03,4.15E-04,2.75E-02,6.35E-03,N/A,10
Hip,Anatomy,N/A,ENSG00000188603.12,CLN3,protein coding,Protein-coding transcript,"chr16:28,477,983-28,506,896",10.3,5.4,10.1,3.1,7.2,6.6,2,2.7,7.4,9.5,8.6,6.9,7.6,7,8.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.89E-03,N/A,N/A,1
Hip,Anatomy,N/A,ENSG00000188895.7,MSL1,protein coding,Protein-coding transcript,"chr17:38,278,551-38,293,042",69.4,68.4,106.1,79.3,133.3,113.1,40.4,49,108.8,96.4,91.3,96.3,105.6,95.1,90.3,N/A,N/A,N/A,N/A,N/A,1.35E-02,N/A,N/A,7.45E-04,N/A,1.37E-04,N/A,N/A,N/A,N/A,3
Hip,Anatomy,N/A,ENSG00000188906.9,LRRK2,protein coding,Protein-coding transcript,"chr12:40,590,546-40,763,087",103.9,91.9,0.3,34,0.4,0.3,0.1,0.1,0.6,0.3,0.1,0.5,0.1,0.1,0.3,1.01E-02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1
Hip,Anatomy,N/A,ENSG00000189045.9,ANKDD1B,protein coding,Protein-coding transcript,"chr5:74,907,284-74,967,671",0.4,0.5,0.7,0.6,0.5,0.5,0.2,0.2,1.8,1.8,0.5,0.5,0.6,0.7,0.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.20E-08,4.27E-06,N/A,N/A,N/A,N/A,N/A,2
Hip,Anatomy,N/A,ENSG00000196296.9,ATP2A1,protein coding,Protein-coding transcript,"chr16:28,889,726-28,915,830",0.6,0.8,1.4,1.9,0.6,0.7,0.6,0.7,0.7,1.2,0.8,0.5,0.6,0.7,0.9,N/A,N/A,N/A,1.24E-03,N/A,N/A,N/A,N/A,N/A,4.39E-02,N/A,N/A,N/A,N/A,N/A,2
Hip,Anatomy,N/A,ENSG00000196712.12,NF1,protein coding,Protein-coding transcript,"chr17:29,421,945-29,709,134",6,5.3,13.7,11,11.2,10,7.5,7.3,15.8,16.1,11,10.5,10.4,14.4,9.8,N/A,2.24E-03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.98E-04,N/A,N/A,N/A,N/A,N/A,2
Hip,Anatomy,N/A,ENSG00000196821.5,C6orf106,protein coding,Protein-coding transcript,"chr6:34,555,065-34,664,636",186.6,432.5,655.7,457.6,325.4,332.1,185.6,228.1,358,618.5,489.6,422.7,435.8,454.3,487.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.27E-02,1
Hip,Anatomy,N/A,ENSG00000197165.6,SULT1A2,protein coding,Protein-coding transcript,"chr16:28,603,264-28,608,430",3.3,1.1,0.5,0.1,2,2.4,0.5,0.6,2.4,1.7,1.5,0.9,1.2,1.5,2.2,1.66E-16,2.62E-09,N/A,N/A,6.93E-03,N/A,N/A,N/A,1.82E-03,N/A,1.17E-02,N/A,N/A,N/A,1.95E-02,6
Hip,Anatomy,N/A,ENSG00000198231.8,DDX42,protein coding,Protein-coding transcript,"chr17:61,850,963-61,896,677",45.7,57.5,71.6,78.7,94.3,86.5,67.2,75.1,91.1,74.5,80.5,78.4,80.3,80.4,82.8,2.54E-03,N/A,N/A,N/A,N/A,9.84E-03,1.74E-07,2.84E-06,N/A,N/A,N/A,1.35E-02,N/A,N/A,N/A,5
Hip,Anatomy,N/A,ENSG00000198945.3,L3MBTL3,protein coding,Protein-coding transcript,"chr6:130,334,844-130,462,594",24.1,91.6,42.3,117.1,61.1,52.8,50.1,47,67.6,59.3,58.3,72.7,59.7,52.8,52.4,7.51E-08,1.24E-04,3.46E-05,6.14E-09,2.58E-09,9.53E-10,2.61E-07,1.96E-06,1.87E-09,6.72E-10,2.39E-07,1.10E-07,1.52E-08,9.56E-09,2.15E-08,15
Hip,Anatomy,N/A,ENSG00000199332.1,Y_RNA,misc RNA,sncRNA,"chr6:31,369,929-31,370,027",4.1,8.9,8.7,7.4,7.6,7.2,2.9,2,5.1,5.1,5.6,6.3,6,5.8,4.9,3.48E-03,4.75E-04,1.53E-02,2.28E-02,2.18E-04,1.29E-05,1.38E-03,N/A,1.41E-05,1.34E-04,9.84E-03,6.40E-06,1.63E-04,2.77E-05,2.72E-02,14
Hip,Anatomy,N/A,ENSG00000203760.4,CENPW,protein coding,Protein-coding transcript,"chr6:126,661,320-126,670,021",23.5,13.6,3.7,2.8,3.5,4.2,6.4,8.2,2.7,11.9,5.5,3,4.3,4.2,4.3,1.72E-02,2.01E-04,N/A,1.32E-03,2.50E-02,N/A,N/A,7.00E-07,N/A,N/A,N/A,N/A,2.34E-02,1.76E-02,1.40E-02,8
Hip,Anatomy,N/A,ENSG00000204377.3,C1orf134,protein coding,Protein-coding transcript,"chr1:16,555,368-16,556,038",3.4,3.6,5.6,5.8,6.4,6.7,3.5,4.3,6.5,7.1,6.4,6.4,7.2,6.7,6.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.14E-02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1
Hip,Anatomy,N/A,ENSG00000204516.5,MICB,protein coding,Protein-coding transcript,"chr6:31,462,658-31,478,901",40.5,50.5,94.8,50.8,33,32.4,11.8,17.7,39.4,69.6,56.2,53.7,54.9,53,51.9,2.42E-05,9.88E-05,3.60E-04,1.11E-02,2.07E-02,9.94E-03,N/A,N/A,3.45E-03,1.38E-12,2.03E-05,3.74E-07,1.03E-09,8.63E-07,1.98E-07,13
Hip,Anatomy,N/A,ENSG00000204520.8,MICA,protein coding,Protein-coding transcript,"chr6:31,371,356-31,383,092",19.4,31.5,44.5,29.5,46.8,45.5,11,14,46.7,51.4,51.8,43.6,47.9,42.6,49,1.03E-10,4.55E-10,3.55E-06,4.58E-07,7.49E-12,2.33E-10,2.19E-05,7.63E-07,6.67E-10,5.54E-12,1.13E-08,3.21E-11,4.67E-13,4.27E-11,1.50E-10,15
